번호 Number,등급 Level,어휘 Vocabulary,품사 Word class,길잡이말 Guide
2396,6급,한결같다,형용사,한결같은 마음
2397,6급,한결같이,부사,한결같이 사랑하다
2398,6급,한과,명사,한과를 선물하다
2399,6급,한껏,부사,한껏 즐기다
2400,6급,한낱,부사,한낱 꿈에 불과하 다
2401,6급,한도,명사,카드 한도
2402,6급,한몫,명사,한몫을 챙기다
2403,6급,한바탕01/ 한바탕02,명사/부사,한바탕 웃다
2404,6급,한사코,부사,한사코 말리다
2405,6급,한심하다,형용사,한심한 짓
2406,6급,한정하다,동사,범위를 한정하다
2407,6급,한탄,명사,신세 한탄
2408,6급,한탕,명사,한탕을 노리다
2409,6급,한파,명사,겨울 한파
2410,6급,한하다,동사,고객에 한하여
2411,6급,할퀴다,동사,손톱으로 할퀴다
2412,6급,함성,명사,함성을 지르다
2413,6급,함축,명사,역사의 함축
2414,6급,함흥차사,명사,
2415,6급,합당하다01,형용사,합당한 이유
2416,6급,합동,명사,합동 훈련
2417,6급,합류,명사,팀에 합류하다
2457,6급,헌신적01∙ 헌신적02,관형사∙ 명사,헌신적인 사랑
2419,6급,합성,명사,합성 사진
2420,6급,항문,명사,항문 질환
2421,6급,항생제,명사,항생제를 처방하다
2422,6급,항아리,명사,고추장 항아리
2423,6급,항암,명사,항암 치료
2424,6급,해독02,명사,해독 작용
2425,6급,해독03,명사,한문 해독
2426,6급,해박하다,형용사,해박한 지식
2427,6급,해발,명사,"해발 1,000m"
2428,6급,해석00,명사,통계 해석
2429,6급,해약,명사,해약 요청
2430,6급,해일,명사,지진과 해일
2431,6급,해제,명사,경보 해제
2432,6급,해직,명사,해직 통보
2433,6급,해체02,명사,팀 해체
2471,6급,혁신적01∙ 혁신적02,관형사∙ 명사,혁신적인 기술
2435,6급,핵가족화00,명사,핵가족화 시대
2497,6급,호의적01∙ 호의적02,관형사∙ 명사,호의적인 태도
2437,6급,햅쌀,명사,햅쌀로 밥하다
2438,6급,행렬,명사,축제 행렬
2439,6급,행방,명사,행방을 모르다
2440,6급,행세,명사,주인 행세
2441,6급,행적,명사,행적을 감추다
2442,6급,행정부,명사,기관
2443,6급,행진,명사,가두 행진
2444,6급,허겁지겁,부사,허겁지겁 먹다
2445,6급,허구,명사,허구와 현실
2446,6급,허기,명사,허기를 느끼다
2447,6급,허둥지둥,부사,허둥지둥 나가다
2448,6급,허름하다,형용사,집이 허름하다
2449,6급,허망,명사,허망을 느끼다
2450,6급,허무,명사,허무에 빠지다
2451,6급,허물다02,동사,건물을 허물다
2452,6급,허술하다,형용사,관리가 허술하다
2453,6급,허탈,명사,허탈과 좌절
2454,6급,허파,명사,허파로 호흡하다
2455,6급,헌법,명사,헌법을 개정하다
2456,6급,헌신,명사,헌신과 희생
2533,6급,회의적01∙ 회의적02,관형사∙ 명사,회의적인 견해
2458,6급,헐값,명사,헐값에 팔다
2459,6급,헐다02,동사,건물을 헐다
2460,6급,헐뜯다,동사,남을 헐뜯다
2461,6급,헐레벌떡,부사,헐레벌떡 뛰다
2462,6급,험난하다,형용사,길이 험난하다
2463,6급,험악하다,형용사,산세가 험악하다
2464,6급,헛되이,부사,헛되이 보내다
2465,6급,헤어나다,동사,가난에서 헤어나다
2466,6급,헤집다,동사,방 안을 헤집다
2467,6급,헤치다,동사,물살을 헤치다
2468,6급,헤프다,형용사,씀씀이가 헤프다
2469,6급,헹구다,동사,그릇을 헹구다
2470,6급,혁신,명사,기술 혁신
2535,6급,획기적00∙ 획기적00,관형사∙ 명사,획기적으로 바꾸다
2472,6급,현,관형사,현 대통령
2473,6급,현기증,명사,현기증을 일으키다
2474,6급,현모양처,명사,
2475,6급,현안,명사,국정 현안
2476,6급,현저하다,형용사,차이가 현저하다
2477,6급,현저히,부사,현저히 증가하다
2478,6급,현직,명사,현직 장관
2479,6급,혈연,명사,혈연을 중요시하다
2480,6급,혐오,명사,혐오 시설
2481,6급,혐의,명사,범죄 혐의
2482,6급,협동심,명사,협동심을 기르다
2483,6급,협박,명사,협박 편지
2484,6급,협상,명사,임금 협상
2485,6급,협약,명사,업무 협약
2486,6급,협의00,명사,조건을 협의하다
2487,6급,협정,명사,협정을 맺다
2488,6급,협조02,명사,노사 협조
2489,6급,형사,명사,형사에게 붙잡히다
2490,6급,형상,명사,동물의 형상
2491,6급,형용하다,동사,말로 형용하다
2492,6급,호되다,형용사,호된 비판
2493,6급,호들갑,명사,호들갑을 떨다
2494,6급,호소00,명사,관심 호소
2495,6급,호응,명사,관객의 호응
2496,6급,호의,명사,호의를 베풀다
874,6급,무차별적01/ 무차별적02,관형사∙ 명사,무차별적 수용
2498,6급,호전,명사,증상 호전
2499,6급,호젓하다,형용사,산길이 호젓하다
2500,6급,호조00,명사,호조를 보이다
2501,6급,호평,명사,호평을 받다
2502,6급,호황,명사,호황을 누리다
2503,6급,혹시나,부사,혹시나 하고
2504,6급,혹평,명사,전문가의 혹평
2505,6급,혼동,명사,혼동을 일으키다
2506,6급,혼합,명사,혼합 물질
2507,6급,홀가분하다,형용사,마음이 홀가분하다
2508,6급,홈런,명사,홈런을 치다
2509,6급,화00,명사,화를 면하다
2510,6급,화두,명사,화두를 꺼내다
2511,6급,화목,명사,가정의 화목
2512,6급,화물,명사,화물을 싣다
2513,6급,화살,명사,화살을 쏘다
2514,6급,화자,명사,화자와 청자
2515,6급,확고하다,형용사,의지가 확고하다
2516,6급,확립,명사,질서 확립
2517,6급,확연히,부사,확연히 다르다
2518,6급,확충,명사,설비 확충
2519,6급,환원,명사,사회 환원
2520,6급,환호,동사,환호를 보내다
2521,6급,활력,명사,활력이 넘치다
2522,6급,활력소,명사,생활의 활력소
2523,6급,활자,명사,금속 활자
2524,6급,황금기,명사,인생의 황금기
2525,6급,황급히,부사,황급히 나가다
2526,6급,황량하다,형용사,거리가 황량하다
2527,6급,황제,명사,황제 폐하
2528,6급,황혼,명사,황혼 무렵
2529,6급,회견,명사,기자 회견
2530,6급,회계,명사,예산 회계
2531,6급,회복세,명사,경기 회복세
2532,6급,회수,명사,자금 회수
1701,6급,유동적01∙유동적02,관형사∙ 명사,유동적 상황
2534,6급,회피,명사,책임 회피
1961,6급,정서적01∙정서적02,관형사∙ 명사,정서적 교감
2536,6급,획득,명사,메달 획득
2537,6급,횡설수설,명사,
2538,6급,효력,명사,법적 효력
2539,6급,효용,명사,효용 가치
2540,6급,후각,명사,후각이 예민하다
2541,6급,후대02,명사,후대에 물려주다
2542,6급,후련하다,형용사,속이 후련하다
2543,6급,후반부,명사,경기 후반부
2544,6급,후보자,명사,대통령 후보자
2545,6급,후속,명사,후속 조치
2546,6급,후원자,명사,재정 후원자
2547,6급,후유증,명사,사고 후유증
2548,6급,후임,명사,후임 감독
2549,6급,후진,명사,후진 주차
2550,6급,후퇴,명사,작전상 후퇴
2551,6급,훑다,동사,대충 훑다
2552,6급,훑어보다,동사,책을 훑어보다
2553,6급,훔쳐보다,동사,일기를 훔쳐보다
2554,6급,훤하다,형용사,불이 훤하다
2555,6급,휘다,동사,허리가 휘다
2556,6급,휘두르다,동사,칼을 휘두르다
2557,6급,휘말리다,동사,싸움에 휘말리다
2558,6급,휘젓다,동사,국을 휘젓다
2559,6급,휩싸이다,동사,불길에 휩싸이다
2560,6급,휩쓸다,동사,태풍이 휩쓸다
2561,6급,휩쓸리다,동사,강풍에 휩쓸리다
2562,6급,휴대용,명사,휴대용 녹음기
2563,6급,휴무,명사,임시 휴무
2564,6급,휴전,명사,휴전 상태
2565,6급,휴직,명사,육아 휴직
2566,6급,흉하다,형용사,점괘가 흉하다
2567,6급,흐느끼다,동사,흐느끼는 소리
2568,6급,흑자,명사,흑자를 내다
2569,6급,흘기다,동사,눈을 흘기다
2570,6급,흘러들다,동사,바다로 흘러들다
2571,6급,흡사,부사,흡사 짐승 같다
2572,6급,흥청망청,부사,흥청망청 쓰다
2573,6급,희귀하다,형용사,희귀한 보석
2574,6급,희미하다,형용사,기억이 희미하다
2575,6급,희박하다,형용사,가능성이 희박하다
2576,6급,희한하다,형용사,희한한 일
2577,6급,힐끔거리다,동사,옆을 힐끔거리다
2578,6급,힐끗,부사,힐끗 돌아보다
2579,6급,힘겹다,형용사,삶이 힘겹다
2580,6급,힘입다,동사,성원에 힘입다
