번호 Number,등급 Level,어휘 Vocabulary,품사 Word class,길잡이말 Guide
1967,6급,정적02∙정적03,관형사∙ 명사,정적인 분위기
1945,6급,점포,명사,점포 임대
1946,6급,접대,명사,접대를 받다
1947,6급,접전,명사,접전을 벌이다
1948,6급,접종,명사,예방 접종
1949,6급,정감,명사,정감을 느끼다
1950,6급,정계,명사,정계 인사
1951,6급,정교하다,형용사,정교한 기법
1952,6급,정권,명사,정권이 바뀌다
1953,6급,정규,명사,정규 직원
1954,6급,정년,명사,정년을 앞두다
1955,6급,정당하다,형용사,정당한 대가
1956,6급,정밀,명사,정밀 검사
1957,6급,정복,명사,정복을 당하다
1958,6급,정비,명사,제도 정비
1959,6급,정사각형,명사,정사각형 모양
1960,6급,정상화,명사,정상화 대책
1971,6급,정책적01∙ 정책적02,관형사∙ 명사,정책적 지원
1962,6급,정세02,동사,주변 정세
1963,6급,정신력,명사,정신력이 강하다
1964,6급,정연하다,형용사,논리가 정연하다
1965,6급,정열,명사,정열을 바치다
1979,6급,제도적01∙ 제도적02,관형사∙ 명사,제도적 장치
2003,6급,조직적01∙ 조직적02,관형사∙ 명사,조직적 활동
1968,6급,정적04,명사,정적이 흐르다
1969,6급,정점,명사,정점에 다다르다
1970,6급,정정당당하 다,형용사,정정당당한 승부
2016,6급,종합적01∙ 종합적02,관형사∙ 명사,종합적 연구
1972,6급,정체01,명사,정체가 드러나다
1973,6급,정체기,명사,정체기를 겪다
1974,6급,정체성,명사,정체성을 찾다
1975,6급,정통,명사,정통 요리
1976,6급,정화01,명사,환경 정화
1977,6급,젖히다01,동사,고개를 뒤로 젖히다
1978,6급,제각기01/ 제각기02,명사/부사,제각기 다르다
2041,6급,중점적01∙ 중점적02,관형사∙ 명사,중점적인 투자
1980,6급,제의,명사,제의가 들어오다
1981,6급,제재01,명사,복장 제재
1982,6급,제정,명사,법 제정
1983,6급,제치다,동사,라이벌을 제치다
1984,6급,제패,명사,세계 재패
1985,6급,조급하다,형용사,조급한 성격
1986,6급,조립,명사,장난감 조립
1987,6급,조마조마,부사,조마조마 걱정하다
1988,6급,조만간,부사,조만간 만나다
1989,6급,조문02,명사,조문을 가다
1990,6급,조문객,명사,조문객을 맞이하다
1991,6급,조부모,명사,부모를 모시다
1992,6급,조선업,명사,조선업에 종사하다
1993,6급,조성,명사,분위기 조성
1994,6급,조세,명사,조세를 거두다
1995,6급,조심조심,부사,조심조심 걸어가다
1996,6급,조연,명사,조연 배우
1997,6급,조의,명사,조의를 표하다
1998,6급,조작02,명사,기계 조작
1999,6급,조장01,명사,과소비 조장
2000,6급,조정00,명사,조정 경기
2001,6급,조정01,명사,의견 조정
2002,6급,조종,명사,비행기 조종
2059,6급,지리적01∙ 지리적02,관형사∙ 명사,지리적 조건
